,file,seed,best_reg,dof,all_accuracy,all_bal_acc,all_abs_err,train_accuracy,train_bal_acc,train_abs_err,test_accuracy,test_bal_acc,test_abs_err,spearman_corr,pearson_corr,precision,sensitivity
0,simdata_v2_TS0.1_SS0.1.h5ad,1888,0.02596126173419679,640,0.3036649214659686,0.23613413930842503,1.7718516075355804,0.31650485436893205,0.24611613738997276,1.649533831661253,0.1896551724137931,0.14800279085993373,2.8400924472353046,0.5880675957933014,0.420954175805949,0.00625,0.0019230769230769232
1,simdata_v2_TS0.1_SS0.1.h5ad,9370,0.021130332047562435,1365,0.33856893542757416,0.26793848721930347,1.6780656376883958,0.3553398058252427,0.28315398000614145,1.5376223835899987,0.1896551724137931,0.1336996336996337,2.9134179312750743,0.6468979239378932,0.4577415435733189,0.012454212454212455,0.008173076923076924
2,simdata_v2_TS0.1_SS0.1.h5ad,2853,0.021130332047562435,468,0.39790575916230364,0.3831890741727951,1.1366828700932192,0.42718446601941745,0.4131798401283576,0.9398875592270752,0.13793103448275862,0.11843711843711843,2.8879949415663706,0.5687054613117696,0.3584311904117895,0.0,0.0
3,simdata_v2_TS0.1_SS0.1.h5ad,79,0.021130332047562435,479,0.2879581151832461,0.20810009370183977,1.8801408809394577,0.29514563106796116,0.21571709344115003,1.756670442857252,0.22413793103448276,0.14285714285714285,2.952380952380953,0.6560533069280357,0.594336415230114,0.025052192066805846,0.0057692307692307696
4,simdata_v2_TS0.1_SS0.1.h5ad,8320,0.021130332047562435,1343,0.3298429319371728,0.2701947055772167,1.582368828653324,0.34563106796116505,0.2856446825207274,1.4541314424746181,0.1896551724137931,0.1336996336996337,2.721873364730508,0.646156805778821,0.45040082884073673,0.007446016381236039,0.004807692307692308
5,simdata_v2_TS0.1_SS0.3.h5ad,2130,0.021130332047562435,1230,0.3507853403141361,0.284164282045638,1.5898043164239213,0.3572815533980582,0.2902848954246136,1.4816062485910244,0.29310344827586204,0.23015873015873017,2.535714285714286,0.6429961304179157,0.4643856325106,0.0032520325203252032,0.001924001924001924
6,simdata_v2_TS0.1_SS0.3.h5ad,7984,0.021130332047562435,619,0.39965095986038396,0.35405666027210664,1.1581115747868431,0.42330097087378643,0.3757854363201523,0.9810134640272133,0.1896551724137931,0.16230594802023374,2.7253619396476547,0.5748167679594062,0.39474638114414634,0.0,0.0
7,simdata_v2_TS0.1_SS0.3.h5ad,2525,0.021130332047562435,198,0.2879581151832461,0.2601935383626826,1.432784395741029,0.3067961165048544,0.27593488738635846,1.3264826399401508,0.1206896551724138,0.12140240711669284,2.365035757892901,0.60646989327873,0.5418938135245677,0.015151515151515152,0.001443001443001443
8,simdata_v2_TS0.1_SS0.3.h5ad,4649,0.021130332047562435,826,0.3228621291448517,0.25057391161152426,1.668488226137232,0.3378640776699029,0.26521750287170043,1.5133234351589293,0.1896551724137931,0.12087912087912088,3.021084074655503,0.6169634860095848,0.46441221080520606,0.012106537530266344,0.00481000481000481
9,simdata_v2_TS0.1_SS0.3.h5ad,6977,0.021130332047562435,188,0.2949389179755672,0.2788499105007614,1.412968740703999,0.3048543689320388,0.2880352544233053,1.3222095955395503,0.20689655172413793,0.19858712715855573,2.203732775161347,0.5880958525576072,0.5267058648872868,0.015957446808510637,0.001443001443001443
10,simdata_v2_TS0.1_SS0.5.h5ad,8884,0.021130332047562435,554,0.29668411867364747,0.22208815371540588,1.7770095854112529,0.3087378640776699,0.23361761745538914,1.6372719318570776,0.1896551724137931,0.12087912087912088,2.9987789987789992,0.6255282197052087,0.52175457221856,0.021660649819494584,0.005819592628516004
11,simdata_v2_TS0.1_SS0.5.h5ad,3007,0.021130332047562435,1074,0.4118673647469459,0.37630845341490116,1.1035680767986276,0.44271844660194176,0.4050134256450796,0.9107397083713451,0.13793103448275862,0.12297226582940869,2.8087824873539162,0.5856348988771413,0.3202082867660052,0.0,0.0
12,simdata_v2_TS0.1_SS0.5.h5ad,3155,0.017198352568978403,1668,0.42757417102966844,0.3807827012754274,1.0406978518098988,0.4524271844660194,0.40463420698275704,0.8707815609386709,0.20689655172413793,0.17032967032967034,2.54391243676958,0.6366495846128076,0.4006768201519026,0.004796163069544364,0.0038797284190106693
13,simdata_v2_TS0.1_SS0.5.h5ad,2979,0.021130332047562435,721,0.3333333333333333,0.2669841161803415,1.5799646363444038,0.341747572815534,0.27562239383190174,1.452754935369112,0.25862068965517243,0.1919588348159777,2.690999476713763,0.6100172972219965,0.4513378371200744,0.006934812760055479,0.0024248302618816685
14,simdata_v2_TS0.1_SS0.5.h5ad,7510,0.021130332047562435,1016,0.38394415357766143,0.3460186567160016,1.1741975980441341,0.40388349514563104,0.36553280186394993,1.038318691404078,0.20689655172413793,0.17216117216117216,2.386425082853655,0.5682640689664059,0.34823433020173017,0.005905511811023622,0.002909796314258002
15,simdata_v2_TS0.1_SS0.7.h5ad,1227,0.021130332047562435,480,0.42757417102966844,0.40708959940164213,1.0730258202619867,0.4621359223300971,0.44334579118309436,0.8655433574771717,0.1206896551724138,0.0866910866910867,2.905961102389674,0.5618420016964264,0.3845736736884612,0.004166666666666667,0.0009615384615384616
16,simdata_v2_TS0.1_SS0.7.h5ad,3370,0.02596126173419679,326,0.3158813263525305,0.2710620487153212,1.4793673393353048,0.33980582524271846,0.2930803422638926,1.3535309575470253,0.10344827586206896,0.07875457875457877,2.591596895168324,0.5449311893571887,0.4006529768666899,0.0,0.0
