,file,seed,best_reg,dof,train_accuracy,train_bal_acc,train_abs_err,test_accuracy,test_bal_acc,test_abs_err,spearman_corr,pearson_corr,precision,sensitivity
0,simdata_v2_TS0.1_SS0.1.h5ad,9622,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
1,simdata_v2_TS0.1_SS0.1.h5ad,2315,0.10716699645770002,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
2,simdata_v2_TS0.1_SS0.1.h5ad,9004,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
3,simdata_v2_TS0.1_SS0.1.h5ad,2939,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
4,simdata_v2_TS0.1_SS0.1.h5ad,3288,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
5,simdata_v2_TS0.1_SS0.3.h5ad,4213,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
6,simdata_v2_TS0.1_SS0.3.h5ad,769,0.12695121127613088,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
7,simdata_v2_TS0.1_SS0.3.h5ad,7668,0.25,2,0.21165048543689322,0.16165653981451872,2.908942333326201,0.27586206896551724,0.22710622710622713,2.30629687772545,0.16845981243887004,0.11577735215500184,0.0,0.0
8,simdata_v2_TS0.1_SS0.3.h5ad,1626,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
9,simdata_v2_TS0.1_SS0.3.h5ad,6463,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
10,simdata_v2_TS0.1_SS0.5.h5ad,3873,0.2110397281373741,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
11,simdata_v2_TS0.1_SS0.5.h5ad,489,0.2110397281373741,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
12,simdata_v2_TS0.1_SS0.5.h5ad,8879,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
13,simdata_v2_TS0.1_SS0.5.h5ad,1485,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
14,simdata_v2_TS0.1_SS0.5.h5ad,8736,0.10716699645770002,3,0.22718446601941747,0.14164648910411623,3.0072639225181597,0.22413793103448276,0.14285714285714285,3.0000000000000004,0.0792598411676435,0.08862019950171886,0.0,0.0
15,simdata_v2_TS0.1_SS0.7.h5ad,5333,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
16,simdata_v2_TS0.1_SS0.7.h5ad,9545,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
17,simdata_v2_TS0.1_SS0.7.h5ad,5941,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
18,simdata_v2_TS0.1_SS0.7.h5ad,2071,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
19,simdata_v2_TS0.1_SS0.7.h5ad,5642,0.25,2,0.19805825242718447,0.1368495591392937,3.061360479504088,0.15517241379310345,0.0989010989010989,3.329495900924473,-0.024430045755546973,0.0317457645567087,0.0,0.0
20,simdata_v2_TS0.1_SS0.9.h5ad,4212,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
21,simdata_v2_TS0.1_SS0.9.h5ad,4554,0.25,3,0.21941747572815534,0.15313627849604824,2.9060575948692415,0.2413793103448276,0.19230769230769232,2.612593755450899,0.12819985531005837,0.09812626804803962,0.0,0.0
22,simdata_v2_TS0.1_SS0.9.h5ad,6494,0.2110397281373741,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
23,simdata_v2_TS0.1_SS0.9.h5ad,9094,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
24,simdata_v2_TS0.1_SS0.9.h5ad,7481,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
25,simdata_v2_TS0.3_SS0.1.h5ad,8549,0.25,0,0.229126213592233,0.14285714285714285,3.0,0.22413793103448276,0.14285714285714285,3.0000000000000004,,,0.0,0.0
26,simdata_v2_TS0.3_SS0.1.h5ad,9388,0.014033034078083092,3679,0.537864077669903,0.5039808596036812,0.7068774010082118,0.20689655172413793,0.1925693354264783,2.7863247863247866,0.58940618824414,0.34073684704926127,0.04022832291383528,0.02427423322945711
