,file,seed,dof,train_accuracy,train_bal_acc,train_abs_err,test_accuracy,test_bal_acc,test_abs_err,spearman_corr,kendall_corr,pearson_corr
0,simdata_TS0.1_SS0.1.h5ad,7259,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
1,simdata_TS0.1_SS0.1.h5ad,9393,7809,0.512621359223301,0.4716584518575918,0.559620894864448,0.1206896551724138,0.14102564102564102,3.2906976744186056,0.6159577875833783,0.4430124848973016,0.35905744988944543
2,simdata_TS0.1_SS0.1.h5ad,8603,4908,0.48349514563106794,0.4428530031646501,0.6632625572453654,0.15517241379310345,0.17242281527995815,3.2325581395348846,0.5913111278964938,0.4161754475890601,0.2819466529163038
3,simdata_TS0.1_SS0.1.h5ad,9557,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
4,simdata_TS0.1_SS0.1.h5ad,2850,5147,0.4893203883495146,0.4396822506169891,0.672936105600862,0.1724137931034483,0.16117216117216118,2.7170542635658927,0.614019424580017,0.43817962142569467,0.31869069483232365
5,simdata_TS0.1_SS0.3.h5ad,3062,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
6,simdata_TS0.1_SS0.3.h5ad,9368,4760,0.5184466019417475,0.4900055854548448,0.6161682952513898,0.1724137931034483,0.13701377987092273,3.1375968992248073,0.5895784078008571,0.42502349308632026,0.2671907082402649
7,simdata_TS0.1_SS0.3.h5ad,3362,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
8,simdata_TS0.1_SS0.3.h5ad,6186,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
9,simdata_TS0.1_SS0.3.h5ad,2213,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
10,simdata_TS0.1_SS0.5.h5ad,5457,10404,0.48349514563106794,0.4505788317572916,0.656331888423579,0.1724137931034483,0.173992673992674,2.844961240310078,0.6249837507658986,0.4465883156982633,0.36815477199711677
11,simdata_TS0.1_SS0.5.h5ad,8272,9438,0.47766990291262135,0.4473106063333682,0.6614747875492861,0.13793103448275862,0.10073260073260072,2.7984496124031017,0.644410945968857,0.467396477867682,0.3535946227373339
12,simdata_TS0.1_SS0.5.h5ad,189,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
13,simdata_TS0.1_SS0.5.h5ad,894,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
14,simdata_TS0.1_SS0.5.h5ad,4679,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
15,simdata_TS0.1_SS0.7.h5ad,4776,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
16,simdata_TS0.1_SS0.7.h5ad,5529,5026,0.516504854368932,0.4842125501766115,0.6445032204344526,0.15517241379310345,0.13736263736263737,3.096899224806202,0.5863913254412553,0.41661479881375163,0.32475362020271953
17,simdata_TS0.1_SS0.7.h5ad,1550,5392,0.44854368932038835,0.40782820520129903,0.6872137731736586,0.08620689655172414,0.11904761904761905,3.6666666666666674,0.5943683439533267,0.42837964827493624,0.3011738413088073
18,simdata_TS0.1_SS0.7.h5ad,4668,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
19,simdata_TS0.1_SS0.7.h5ad,9570,5056,0.512621359223301,0.47932437686774537,0.5958905786986016,0.1206896551724138,0.1282051282051282,3.2771317829457374,0.5885040766920476,0.4202150380160851,0.2802270135878302
20,simdata_TS0.1_SS0.9.h5ad,4801,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
21,simdata_TS0.1_SS0.9.h5ad,1788,10569,0.458252427184466,0.4128029974958067,0.6880709230279431,0.1724137931034483,0.173992673992674,2.6860465116279078,0.6179567463566953,0.4415113682129389,0.353187585830799
22,simdata_TS0.1_SS0.9.h5ad,6998,0,0.229126213592233,0.14285714285714285,2.3423211618054025,0.22413793103448276,0.14285714285714285,2.437984496124032,,,
23,simdata_TS0.1_SS0.9.h5ad,7169,8541,0.47766990291262135,0.4393430563691799,0.6358337619082605,0.13793103448275862,0.1391941391941392,2.9980620155038773,0.598639644099994,0.4267686937844006,0.34005392418666197
24,simdata_TS0.1_SS0.9.h5ad,1234,9533,0.4796116504854369,0.4512287299199186,0.699948571008743,0.20689655172413793,0.18315018315018314,2.757751937984497,0.6256990359914636,0.4418042690293999,0.35657164890456056
25,simdata_TS0.3_SS0.1.h5ad,7975,6330,0.5320388349514563,0.5015060482275268,0.53956358827419,0.1724137931034483,0.173992673992674,3.1744186046511635,0.6199627214823231,0.44627100648043055,0.3542414723495401
26,simdata_TS0.3_SS0.1.h5ad,5460,6060,0.5145631067961165,0.49561234851657826,0.6297112629490853,0.22413793103448276,0.1684981684981685,2.1918604651162794,0.6433362959349423,0.46373521766191916,0.3640447797300958
27,simdata_TS0.3_SS0.1.h5ad,2215,6157,0.5106796116504855,0.4812305550607948,0.6161682952513898,0.1896551724137931,0.1465201465201465,2.3003875968992253,0.6532568440370765,0.46712798545259276,0.4032055190331636
28,simdata_TS0.3_SS0.1.h5ad,4888,7077,0.5048543689320388,0.4634664587286693,0.5518820561800505,0.2413793103448276,0.23565323565323565,2.5678294573643416,0.6585173860745307,0.47259546735986524,0.3819066188317147
29,simdata_TS0.3_SS0.1.h5ad,4199,5964,0.5533980582524272,0.5166074698230274,0.5556045355472291,0.20689655172413793,0.2087912087912088,2.7751937984496133,0.6272352982224009,0.4454167124324192,0.2894722888298918
30,simdata_TS0.3_SS0.3.h5ad,4936,6262,0.44660194174757284,0.4175073006625278,0.7836063967869127,0.27586206896551724,0.21428571428571427,2.139534883720931,0.6549089398661612,0.4633080706379135,0.35751462045251114
31,simdata_TS0.3_SS0.3.h5ad,9583,5975,0.5009708737864078,0.45646687530633784,0.6190336247642838,0.22413793103448276,0.19413919413919414,2.4573643410852726,0.6496858396360377,0.4697885012021138,0.37292795216170466
32,simdata_TS0.3_SS0.3.h5ad,7167,6285,0.49320388349514566,0.4650630486808573,0.6304214728283496,0.3103448275862069,0.27472527472527475,1.8372093023255818,0.6889586597797556,0.49987185589279826,0.3990392416921526
33,simdata_TS0.3_SS0.3.h5ad,9246,5993,0.5533980582524272,0.5269522279189591,0.5305757598021209,0.22413793103448276,0.20695970695970697,2.5406976744186056,0.6296677399984769,0.452727028643259,0.33445683637649076
34,simdata_TS0.3_SS0.3.h5ad,9612,5970,0.512621359223301,0.4802094393822968,0.5706169029951265,0.2413793103448276,0.23076923076923078,2.2209302325581404,0.6678146269513912,0.48404300760321695,0.395524784110697
35,simdata_TS0.3_SS0.5.h5ad,5222,5879,0.5242718446601942,0.48783832898704843,0.568780153307374,0.15517241379310345,0.163003663003663,3.096899224806202,0.5917888777038312,0.42482822587534624,0.33666520775129455
36,simdata_TS0.3_SS0.5.h5ad,6798,6782,0.48349514563106794,0.4521191029977432,0.669262606225357,0.20689655172413793,0.20085470085470084,2.769379844961241,0.6259812847094165,0.44370812433639656,0.33577135858368634
37,simdata_TS0.3_SS0.5.h5ad,5737,6642,0.5067961165048543,0.46840575603579,0.6163887052139202,0.22413793103448276,0.22161172161172157,3.09108527131783,0.6144268195091845,0.4383138676332393,0.30348090640202835
38,simdata_TS0.3_SS0.5.h5ad,7165,6266,0.5514563106796116,0.5224351503166653,0.543408517620552,0.1896551724137931,0.1978021978021978,2.5096899224806206,0.621809999475687,0.4451604242180158,0.33309864752514134
39,simdata_TS0.3_SS0.5.h5ad,7028,8463,0.5106796116504855,0.47034635567471833,0.6109519261381726,0.20689655172413793,0.19597069597069597,2.4786821705426365,0.6444973746723205,0.4601837952623293,0.3925962559130485
40,simdata_TS0.3_SS0.7.h5ad,4675,6358,0.5106796116504855,0.47393132666357785,0.6313276026743075,0.27586206896551724,0.23397435897435898,2.1085271317829464,0.6697214163693541,0.4720584825296867,0.32825197816983703
41,simdata_TS0.3_SS0.7.h5ad,3326,8164,0.5184466019417475,0.4886580547576604,0.5626576543481988,0.29310344827586204,0.26373626373626374,1.864341085271318,0.6908822246582431,0.49859041482078126,0.42509477413671426
42,simdata_TS0.3_SS0.7.h5ad,9275,6489,0.5029126213592233,0.46263258010781677,0.6285602331447604,0.1896551724137931,0.17216117216117216,2.6124031007751944,0.6068417599511968,0.42925835072431934,0.30865733525728944
43,simdata_TS0.3_SS0.7.h5ad,9628,8149,0.5029126213592233,0.4585149755884045,0.5904782896186909,0.2413793103448276,0.21001221001221,2.486434108527132,0.6993097567736822,0.5065353494672866,0.4362442567302582
44,simdata_TS0.3_SS0.7.h5ad,3592,6313,0.5320388349514563,0.49956033567270036,0.5930742291773811,0.15517241379310345,0.15018315018315018,2.697674418604652,0.6366095914046368,0.45838977776150547,0.3534951400670095
45,simdata_TS0.5_SS0.1.h5ad,4229,5710,0.5825242718446602,0.5496561483483108,0.4892121568339334,0.29310344827586204,0.2577838827838828,1.9728682170542642,0.670224552615052,0.48555632848826563,0.43408883605877785
46,simdata_TS0.5_SS0.1.h5ad,2114,5719,0.512621359223301,0.4749758825625762,0.5762985820292411,0.25862068965517243,0.22893772893772896,1.8779069767441867,0.7040516628053342,0.5132476598445185,0.4302493210920305
47,simdata_TS0.5_SS0.1.h5ad,3020,3156,0.5514563106796116,0.515571430197379,0.5334165993191781,0.2413793103448276,0.21794871794871792,2.1899224806201554,0.6601408424291837,0.47697677540609473,0.35625481139394566
