TIPARP
MUC6
EZH1
GAB1
RSAD2
CLK1
PHLPP2
SNIP1
CA12
UHRF2
CBLL1
MT1A
SNAI2
ANKRD50
LNPEP
IVNS1ABP
HSPA4
OASL
IL8
CSF3
AKTIP
PGAP1
PIAS1
NUP62CL
RAB3B
SLC38A1
OAT
ZNF268
FAM83B
ZNF192
MAT2A
F2RL1
NCOA7
ZNF25
SOCS2
SLC1A2
FAM179B
ZNF700
NFKBIA
ATG4A
LRIG2
ZNF398
CDR1
RNF139
ID2
RANBP6
