HEXB
CLDN4
EXD2
IFIT2
TNFAIP3
ATRN
ALDH9A1
NBEAL1
SCCPDH
MTERFD3
IDI1
RPS6KC1
TTLL5
ZNF564
FAM217B
VIM
TACSTD2
KLHDC2
DNAH7
CCBL2
C10orf10
MEG3
SERPINA3
GDI2
REG3A
MAP1LC3B
UGT2B7
C5orf28
PGM1
DAZAP2
TSC22D1
C8orf4
TMEM70
GLUL
ASUN
UAP1
TTN
ANXA10
SLC39A14
FGL1
RNF2
C5orf51
ELF3
NFYA
PIGW
ALDH1A1
FASTKD2
PAM
NFKBIZ
RYR2
CDC23
PMPCB
GBE1
BTAF1
ANXA2
GDAP1
IST1
CEACAM6
ANXA5
PNRC2
SEC16B
DDIT4
TMX2
CDKN2AIP
MTAP
REG1P
CNN3
XRCC6
KIAA1279
BPGM
ALG9
SERINC1
ZFAND5
STK3
KIAA1109
STAT1
CLDND1
OXSM
HELQ
FAM120B
