REG3A
AMY2B
PDK4
IL8
RGS2
FOS
HSPA8
SAT1
ASNS
ATF3
RNASE1
PDIA2
CEL
AZGP1
CFB
SLC38A2
PAM
FAM102A
IDI1
ADM
BTG2
FNDC3A
CD74
CELA3A
FBXO32
XIST
SEL1L
PRDX3
GYG1
FOSL1
EPB41L4B
DNAJB4
ODC1
KLHDC2
CAPN2
FAM107B
LDHB
LOC100506710
SLC7A11
SELT
SRXN1
NFKBIZ
MAP2K3
RPS15
ESD
PNLIPRP1
RPL36
ANKRD17
SLC39A8
ITM2A
SPOCK1
CTRB2
PAPSS1
CPB1
ZNF638
HNRNPK
KDELR3
SQSTM1
LATS1
UGT2B7
HSPA6
KAT7
ANPEP
MEP1A
NUDCD1
TCN1
SERPINF1
MOAP1
MARVELD2
SHPRH
FLRT3
MCOLN3
ZNF75D
LNPEP
GNPDA2
C17orf48
ZNF268
VCAM1
KIAA0586
