ICAM1
PRDX3
ADH1C
ARF4
MEP1A
CFI
GDF15
SRXN1
BTG2
DNAJB4
GBP3
RNASE4
RGS2
SPOCK1
AKR1B10
ECI2
STEAP1
PDIK1L
TMC5
HSPA6
HLA-DPA1
EDN1
CYP1A1
DUOX2
UBD
ITM2A
FSTL3
TCN1
CD74
NNMT
DUSP1
