KBTBD7
ID1
CA12
USP9X
CYR61
RCHY1
IVNS1ABP
CSF3
AKTIP
SGK1
KIAA1033
TFPI2
SAT1
ZNF192
MAT2A
VCAM1
XIST
MED20
BIRC3
PM20D1
CDR1
