,files,seed,dof,mae,acc,bacc,cor_spearman,cor_pearson
1,~/data/simdata_v2_TS0.1_SS0.1.h5ad,2745,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
2,~/data/simdata_v2_TS0.1_SS0.1.h5ad,4748,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
3,~/data/simdata_v2_TS0.1_SS0.1.h5ad,5174,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
4,~/data/simdata_v2_TS0.1_SS0.1.h5ad,6570,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
5,~/data/simdata_v2_TS0.1_SS0.1.h5ad,2319,6,2.71902268760907,0.228621291448517,0.142857142857143,0.247937498703006,0.236729086371772
6,~/data/simdata_v2_TS0.1_SS0.3.h5ad,2745,5,2.71902268760907,0.228621291448517,0.142857142857143,0.263120928790505,0.270833183085231
7,~/data/simdata_v2_TS0.1_SS0.3.h5ad,4748,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
8,~/data/simdata_v2_TS0.1_SS0.3.h5ad,5174,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
9,~/data/simdata_v2_TS0.1_SS0.3.h5ad,6570,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
10,~/data/simdata_v2_TS0.1_SS0.3.h5ad,2319,8,2.65270506108202,0.232111692844677,0.146258503401361,0.29860205684737,0.296094084802805
11,~/data/simdata_v2_TS0.1_SS0.5.h5ad,2745,5,2.71902268760907,0.228621291448517,0.142857142857143,0.255343031084564,0.237353255388053
12,~/data/simdata_v2_TS0.1_SS0.5.h5ad,4748,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
13,~/data/simdata_v2_TS0.1_SS0.5.h5ad,5174,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
14,~/data/simdata_v2_TS0.1_SS0.5.h5ad,6570,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
15,~/data/simdata_v2_TS0.1_SS0.5.h5ad,2319,7,2.59162303664921,0.242582897033159,0.157072752765228,0.305428287157865,0.313353494458919
16,~/data/simdata_v2_TS0.1_SS0.7.h5ad,2745,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
17,~/data/simdata_v2_TS0.1_SS0.7.h5ad,4748,3,2.70157068062827,0.230366492146597,0.144557823129252,0.266344513403088,0.281899196627751
18,~/data/simdata_v2_TS0.1_SS0.7.h5ad,5174,1,2.71902268760907,0.228621291448517,0.142857142857143,0.234301945631228,0.242838622601709
19,~/data/simdata_v2_TS0.1_SS0.7.h5ad,6570,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
20,~/data/simdata_v2_TS0.1_SS0.7.h5ad,2319,2,2.71029668411867,0.228621291448517,0.142857142857143,0.264561669988409,0.281187522752905
21,~/data/simdata_v2_TS0.1_SS0.9.h5ad,2745,4,2.69109947643979,0.230366492146597,0.144557823129252,0.269735034823939,0.275107153951508
22,~/data/simdata_v2_TS0.1_SS0.9.h5ad,4748,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
23,~/data/simdata_v2_TS0.1_SS0.9.h5ad,5174,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
24,~/data/simdata_v2_TS0.1_SS0.9.h5ad,6570,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
25,~/data/simdata_v2_TS0.1_SS0.9.h5ad,2319,4,2.71902268760907,0.228621291448517,0.142857142857143,0.270682372690203,0.27939289740785
26,~/data/simdata_v2_TS0.3_SS0.1.h5ad,2745,15,2.34031413612565,0.24956369982548,0.169212376137131,0.409237488645212,0.420555549133369
27,~/data/simdata_v2_TS0.3_SS0.1.h5ad,4748,36,1.95113438045375,0.289703315881326,0.21091230867722,0.465653985034982,0.49145266639427
28,~/data/simdata_v2_TS0.3_SS0.1.h5ad,5174,26,2.16579406631763,0.282722513089005,0.19941600889053,0.43353921986467,0.451254698906385
29,~/data/simdata_v2_TS0.3_SS0.1.h5ad,6570,25,2.19546247818499,0.282722513089005,0.197408734486161,0.441072492472488,0.465553026949678
30,~/data/simdata_v2_TS0.3_SS0.1.h5ad,2319,57,1.84467713787086,0.31413612565445,0.23528512194113,0.511625037390204,0.540343481690804
31,~/data/simdata_v2_TS0.3_SS0.3.h5ad,2745,6,2.71902268760907,0.228621291448517,0.142857142857143,0.310704441103748,0.321385552120829
32,~/data/simdata_v2_TS0.3_SS0.3.h5ad,4748,22,2.29668411867365,0.263525305410122,0.180531754686607,0.377427150464795,0.385782917574911
33,~/data/simdata_v2_TS0.3_SS0.3.h5ad,5174,16,2.60558464223386,0.235602094240838,0.149659863945578,0.370922022130898,0.366439129836498
34,~/data/simdata_v2_TS0.3_SS0.3.h5ad,6570,21,2.39267015706806,0.256544502617801,0.171288362673314,0.405919210720832,0.407115171914908
35,~/data/simdata_v2_TS0.3_SS0.3.h5ad,2319,22,2.32286212914485,0.258289703315881,0.174819546139066,0.421015815799407,0.42531635536673
36,~/data/simdata_v2_TS0.3_SS0.5.h5ad,2745,6,2.71553228621291,0.230366492146597,0.144557823129252,0.256648536432071,0.275743831424444
37,~/data/simdata_v2_TS0.3_SS0.5.h5ad,4748,10,2.63874345549738,0.235602094240838,0.151490367139222,0.274426075300234,0.291601603560364
38,~/data/simdata_v2_TS0.3_SS0.5.h5ad,5174,10,2.60558464223386,0.237347294938918,0.152580879680116,0.319581741728603,0.317464274808058
