CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 757.953125 1691846942.2990
MEM 757.953125 1691846942.3993
MEM 757.953125 1691846942.4995
MEM 757.953125 1691846942.5998
MEM 757.953125 1691846942.7000
MEM 757.953125 1691846942.8003
MEM 568.785156 1691846942.9005
MEM 709.613281 1691846943.0008
MEM 709.613281 1691846943.1010
MEM 709.714844 1691846943.2013
MEM 762.445312 1691846943.3016
MEM 757.437500 1691846943.4018
MEM 796.101562 1691846943.5021
MEM 757.539062 1691846943.6024
MEM 808.445312 1691846943.7027
MEM 757.437500 1691846943.8029
MEM 854.101562 1691846943.9032
MEM 757.539062 1691846944.0035
MEM 848.445312 1691846944.1038
MEM 757.437500 1691846944.2040
MEM 893.960938 1691846944.3043
MEM 757.539062 1691846944.4046
MEM 880.097656 1691846944.5049
MEM 757.437500 1691846944.6051
MEM 941.960938 1691846944.7054
MEM 757.539062 1691846944.8057
MEM 952.097656 1691846944.9060
MEM 757.437500 1691846945.0062
MEM 757.539062 1691846945.1064
MEM 757.539062 1691846945.2067
MEM 568.992188 1691846945.3069
MEM 710.128906 1691846945.4072
MEM 710.128906 1691846945.5074
MEM 710.128906 1691846945.6077
MEM 710.128906 1691846945.7079
MEM 757.953125 1691846945.8081
MEM 757.953125 1691846945.9084
MEM 757.953125 1691846946.0086
MEM 757.953125 1691846946.1089
MEM 757.953125 1691846946.2091
MEM 757.953125 1691846946.3094
MEM 757.953125 1691846946.4096
MEM 757.953125 1691846946.5099
MEM 757.953125 1691846946.6102
MEM 757.953125 1691846946.7104
MEM 757.953125 1691846946.8106
MEM 757.953125 1691846946.9113
MEM 757.953125 1691846947.0116
MEM 757.953125 1691846947.1118
MEM 757.953125 1691846947.2121
MEM 757.953125 1691846947.3123
MEM 757.953125 1691846947.4125
MEM 757.953125 1691846947.5128
MEM 757.953125 1691846947.6130
MEM 757.953125 1691846947.7134
MEM 757.953125 1691846947.8136
MEM 757.953125 1691846947.9138
MEM 757.953125 1691846948.0141
MEM 757.953125 1691846948.1143
MEM 757.953125 1691846948.2146
MEM 761.273438 1691846948.3148
MEM 757.953125 1691846948.4151
MEM 568.937500 1691846948.5153
MEM 726.660156 1691846948.6157
MEM 710.128906 1691846948.7159
MEM 924.074219 1691846948.8162
MEM 710.128906 1691846948.9164
MEM 899.753906 1691846949.0169
MEM 757.953125 1691846949.1172
MEM 939.023438 1691846949.2174
MEM 757.953125 1691846949.3177
MEM 909.753906 1691846949.4180
MEM 757.953125 1691846949.5183
MEM 963.023438 1691846949.6186
MEM 757.953125 1691846949.7188
MEM 949.753906 1691846949.8191
MEM 757.953125 1691846949.9193
