CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 0.625000 1691841112.8750
MEM 26.136719 1691841112.9753
MEM 41.378906 1691841113.0755
MEM 67.285156 1691841113.1757
MEM 99.132812 1691841113.2759
MEM 117.921875 1691841113.3761
MEM 128.546875 1691841113.4764
MEM 219.675781 1691841113.5766
MEM 226.425781 1691841113.6768
MEM 241.425781 1691841113.7771
MEM 251.050781 1691841113.8773
MEM 267.050781 1691841113.9775
MEM 273.550781 1691841114.0777
MEM 279.492188 1691841114.1780
MEM 288.492188 1691841114.2782
MEM 476.691406 1691841114.3784
MEM 486.757812 1691841114.4786
MEM 519.839844 1691841114.5789
MEM 703.769531 1691841114.6791
MEM 703.769531 1691841114.7794
MEM 703.871094 1691841114.8796
MEM 733.617188 1691841114.9801
MEM 757.714844 1691841115.0804
MEM 757.714844 1691841115.1806
MEM 757.710938 1691841115.2808
MEM 799.847656 1691841115.3811
MEM 757.714844 1691841115.4813
MEM 915.363281 1691841115.5816
MEM 757.710938 1691841115.6819
MEM 955.500000 1691841115.7822
MEM 757.714844 1691841115.8824
MEM 757.710938 1691841115.9826
MEM 757.710938 1691841116.0829
MEM 757.714844 1691841116.1831
MEM 757.714844 1691841116.2834
MEM 757.710938 1691841116.3836
MEM 757.710938 1691841116.4838
MEM 757.714844 1691841116.5841
MEM 789.503906 1691841116.6843
MEM 757.710938 1691841116.7846
MEM 620.328125 1691841116.8848
MEM 724.183594 1691841116.9850
MEM 724.183594 1691841117.0853
MEM 724.183594 1691841117.1855
MEM 724.183594 1691841117.2857
MEM 758.128906 1691841117.3860
MEM 758.128906 1691841117.4862
MEM 758.128906 1691841117.5865
MEM 758.128906 1691841117.6867
MEM 758.128906 1691841117.7869
MEM 810.679688 1691841117.8873
MEM 758.128906 1691841117.9958
MEM 889.160156 1691841118.0961
MEM 758.128906 1691841118.1963
MEM 758.128906 1691841118.2966
MEM 758.128906 1691841118.3968
MEM 758.128906 1691841118.4971
MEM 758.128906 1691841118.5973
MEM 758.128906 1691841118.6976
MEM 758.128906 1691841118.7978
MEM 758.128906 1691841118.8981
MEM 758.128906 1691841118.9983
MEM 758.128906 1691841119.0985
MEM 758.128906 1691841119.1989
MEM 661.585938 1691841119.2992
MEM 710.304688 1691841119.3995
MEM 856.605469 1691841119.4998
MEM 710.304688 1691841119.6001
MEM 899.156250 1691841119.7004
MEM 758.125000 1691841119.8006
MEM 758.125000 1691841119.9009
MEM 758.125000 1691841120.0011
MEM 758.125000 1691841120.1014
MEM 758.125000 1691841120.2016
MEM 758.125000 1691841120.3019
MEM 758.125000 1691841120.4021
MEM 758.125000 1691841120.5024
MEM 758.125000 1691841120.6026
MEM 758.125000 1691841120.7028
MEM 758.125000 1691841120.8031
MEM 758.125000 1691841120.9033
MEM 758.125000 1691841121.0036
MEM 758.125000 1691841121.1038
MEM 758.125000 1691841121.2042
MEM 758.125000 1691841121.3045
MEM 840.675781 1691841121.4048
MEM 758.125000 1691841121.5050
MEM 569.113281 1691841121.6053
MEM 710.304688 1691841121.7056
MEM 710.304688 1691841121.8058
MEM 710.304688 1691841121.9060
