CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 0.500000 1691770587.9649
MEM 25.800781 1691770588.0651
MEM 40.335938 1691770588.1653
MEM 61.417969 1691770588.2655
MEM 84.261719 1691770588.3657
MEM 102.136719 1691770588.4660
MEM 118.152344 1691770588.5662
MEM 126.527344 1691770588.6664
MEM 211.585938 1691770588.7666
MEM 222.835938 1691770588.8668
MEM 227.210938 1691770588.9670
MEM 239.585938 1691770589.0673
MEM 247.460938 1691770589.1675
MEM 260.796875 1691770589.2677
MEM 268.796875 1691770589.3678
MEM 273.796875 1691770589.4680
MEM 279.332031 1691770589.5682
MEM 336.105469 1691770589.6685
MEM 476.457031 1691770589.7687
MEM 595.527344 1691770589.8690
MEM 561.402344 1691770589.9693
MEM 702.652344 1691770590.0695
MEM 702.902344 1691770590.1697
MEM 851.281250 1691770590.2701
MEM 703.007812 1691770590.3703
MEM 873.222656 1691770590.4706
MEM 756.710938 1691770590.5708
MEM 853.226562 1691770590.6712
MEM 756.812500 1691770590.7714
MEM 756.812500 1691770590.8716
MEM 756.710938 1691770590.9719
MEM 765.226562 1691770591.0745
MEM 756.812500 1691770591.1747
MEM 756.812500 1691770591.2751
MEM 756.710938 1691770591.3753
MEM 756.710938 1691770591.4755
MEM 756.812500 1691770591.5790
MEM 756.812500 1691770591.6792
MEM 756.710938 1691770591.7795
MEM 756.710938 1691770591.8797
MEM 756.812500 1691770591.9800
MEM 809.570312 1691770592.0803
MEM 756.710938 1691770592.1805
MEM 901.085938 1691770592.2808
MEM 756.812500 1691770592.3810
MEM 615.941406 1691770592.4813
MEM 723.324219 1691770592.5815
MEM 768.460938 1691770592.6818
MEM 723.289062 1691770592.7821
MEM 842.402344 1691770592.8824
MEM 757.230469 1691770592.9826
MEM 932.152344 1691770593.0829
MEM 757.230469 1691770593.1832
MEM 962.882812 1691770593.2835
MEM 757.230469 1691770593.3837
MEM 757.230469 1691770593.4840
MEM 757.230469 1691770593.5842
MEM 757.230469 1691770593.6844
MEM 757.230469 1691770593.7847
MEM 757.230469 1691770593.8849
MEM 757.230469 1691770593.9851
MEM 757.230469 1691770594.0853
MEM 757.230469 1691770594.1856
MEM 757.230469 1691770594.2858
MEM 806.402344 1691770594.3861
MEM 757.230469 1691770594.4863
MEM 912.152344 1691770594.5867
MEM 757.230469 1691770594.6869
MEM 567.968750 1691770594.7871
MEM 709.445312 1691770594.8873
MEM 709.445312 1691770594.9876
MEM 709.406250 1691770595.0880
MEM 760.402344 1691770595.1883
MEM 757.230469 1691770595.2885
MEM 846.402344 1691770595.3888
MEM 757.230469 1691770595.4891
MEM 888.882812 1691770595.5897
MEM 757.230469 1691770595.6899
MEM 757.230469 1691770595.7901
MEM 757.230469 1691770595.8903
MEM 757.230469 1691770595.9905
MEM 757.230469 1691770596.0908
MEM 757.230469 1691770596.1910
MEM 757.230469 1691770596.2912
MEM 757.230469 1691770596.3914
MEM 757.230469 1691770596.4916
MEM 757.230469 1691770596.5919
MEM 757.230469 1691770596.6921
MEM 757.230469 1691770596.7923
MEM 786.402344 1691770596.8927
MEM 757.230469 1691770596.9929
MEM 539.644531 1691770597.0932
MEM 709.449219 1691770597.1934
MEM 709.449219 1691770597.2937
MEM 709.410156 1691770597.3939
MEM 709.410156 1691770597.4941
MEM 757.234375 1691770597.5944
MEM 757.234375 1691770597.6946
MEM 757.234375 1691770597.7948
MEM 766.406250 1691770597.8951
MEM 757.234375 1691770597.9954
MEM 822.406250 1691770598.0957
MEM 757.234375 1691770598.1959
MEM 858.406250 1691770598.2962
MEM 757.234375 1691770598.3965
MEM 956.156250 1691770598.4968
MEM 757.234375 1691770598.5970
MEM 757.234375 1691770598.6973
MEM 757.234375 1691770598.7975
MEM 757.234375 1691770598.8978
MEM 757.234375 1691770598.9980
MEM 757.234375 1691770599.0982
MEM 757.234375 1691770599.1985
MEM 757.234375 1691770599.2987
MEM 757.234375 1691770599.3990
MEM 749.792969 1691770599.4992
MEM 709.449219 1691770599.5995
MEM 709.410156 1691770599.6998
MEM 709.410156 1691770599.8000
MEM 757.234375 1691770599.9002
MEM 757.234375 1691770600.0004
MEM 757.234375 1691770600.1007
MEM 757.234375 1691770600.2009
MEM 757.234375 1691770600.3011
MEM 757.234375 1691770600.4013
MEM 757.234375 1691770600.5016
MEM 757.234375 1691770600.6018
MEM 757.234375 1691770600.7020
MEM 757.234375 1691770600.8023
MEM 757.234375 1691770600.9025
MEM 757.234375 1691770601.0028
MEM 757.234375 1691770601.1032
MEM 757.234375 1691770601.2034
MEM 757.234375 1691770601.3037
MEM 762.406250 1691770601.4039
MEM 757.234375 1691770601.5042
MEM 836.406250 1691770601.6045
MEM 757.234375 1691770601.7048
MEM 568.042969 1691770601.8050
MEM 708.937500 1691770601.9053
MEM 708.937500 1691770602.0055
MEM 709.000000 1691770602.1057
MEM 709.000000 1691770602.2060
MEM 756.722656 1691770602.3062
MEM 756.722656 1691770602.4064
MEM 756.824219 1691770602.5067
MEM 756.824219 1691770602.6071
MEM 756.722656 1691770602.7074
MEM 756.722656 1691770602.8077
MEM 756.824219 1691770602.9079
MEM 765.582031 1691770603.0082
MEM 756.722656 1691770603.1084
MEM 791.238281 1691770603.2088
MEM 756.824219 1691770603.3090
MEM 813.582031 1691770603.4094
MEM 756.722656 1691770603.5096
MEM 881.097656 1691770603.6099
MEM 756.824219 1691770603.7102
MEM 893.234375 1691770603.8105
MEM 756.722656 1691770603.9107
MEM 756.824219 1691770604.0110
MEM 756.824219 1691770604.1112
MEM 598.476562 1691770604.2115
MEM 709.453125 1691770604.3117
MEM 709.453125 1691770604.4119
MEM 709.414062 1691770604.5122
MEM 757.121094 1691770604.6125
MEM 757.238281 1691770604.7130
MEM 790.410156 1691770604.8134
MEM 757.238281 1691770604.9136
MEM 804.410156 1691770605.0139
MEM 757.238281 1691770605.1142
MEM 848.410156 1691770605.2145
MEM 757.238281 1691770605.3147
MEM 858.410156 1691770605.4151
MEM 757.238281 1691770605.5154
MEM 912.160156 1691770605.6157
MEM 757.238281 1691770605.7160
MEM 910.890625 1691770605.8162
MEM 757.238281 1691770605.9165
MEM 757.238281 1691770606.0167
MEM 757.238281 1691770606.1169
MEM 958.890625 1691770606.2172
MEM 757.238281 1691770606.3175
MEM 757.238281 1691770606.4177
MEM 757.238281 1691770606.5179
MEM 607.316406 1691770606.6182
MEM 709.453125 1691770606.7185
MEM 738.625000 1691770606.8188
MEM 709.453125 1691770606.9191
MEM 770.410156 1691770607.0194
MEM 757.238281 1691770607.1197
MEM 757.238281 1691770607.2199
MEM 757.238281 1691770607.3201
MEM 757.238281 1691770607.4204
MEM 757.238281 1691770607.5206
MEM 796.410156 1691770607.6209
MEM 757.238281 1691770607.7212
MEM 812.410156 1691770607.8215
MEM 757.238281 1691770607.9217
MEM 862.410156 1691770608.0222
MEM 757.238281 1691770608.1224
MEM 862.410156 1691770608.2227
MEM 757.238281 1691770608.3230
MEM 930.160156 1691770608.4233
MEM 757.238281 1691770608.5235
MEM 920.890625 1691770608.6240
MEM 757.238281 1691770608.7243
MEM 757.238281 1691770608.8245
MEM 757.238281 1691770608.9247
MEM 597.601562 1691770609.0251
MEM 709.453125 1691770609.1254
MEM 709.453125 1691770609.2256
MEM 709.414062 1691770609.3259
MEM 745.496094 1691770609.4261
MEM 757.238281 1691770609.5264
MEM 757.238281 1691770609.6265
MEM 757.238281 1691770609.7268
MEM 764.410156 1691770609.8271
MEM 757.238281 1691770609.9273
MEM 806.410156 1691770610.0277
MEM 757.238281 1691770610.1280
MEM 808.410156 1691770610.2283
MEM 757.238281 1691770610.3285
MEM 864.910156 1691770610.4288
MEM 757.238281 1691770610.5290
MEM 864.410156 1691770610.6293
MEM 757.238281 1691770610.7295
MEM 930.160156 1691770610.8299
MEM 757.238281 1691770610.9301
MEM 906.890625 1691770611.0304
MEM 757.238281 1691770611.1307
MEM 757.238281 1691770611.2309
MEM 757.238281 1691770611.3312
