ENSMUSG00000044982, ENSMUSG00000022003, ENSMUSG00000029461, ENSMUSG00000064127, ENSMUSG00000031146, ENSMUSG00000042492, ENSMUSG00000028436
0.0017875321209430695, 0.014081940054893494, 0.01954168640077114, 0.04342524707317352, 0.04564698040485382, 0.06759148836135864, 0.16942517459392548
ENSMUSG00000044982, ENSMUSG00000022003, ENSMUSG00000029461, ENSMUSG00000064127, ENSMUSG00000031146, ENSMUSG00000042492, ENSMUSG00000028436
0.0017875321209430695, 0.014081940054893494, 0.01954168640077114, 0.04342524707317352, 0.04564698040485382, 0.06759148836135864, 0.16942517459392548
ENSMUSG00000044982, ENSMUSG00000022003, ENSMUSG00000029461, ENSMUSG00000064127, ENSMUSG00000031146, ENSMUSG00000042492, ENSMUSG00000028436
0.0017875321209430695, 0.014081940054893494, 0.01954168640077114, 0.04342524707317352, 0.04564698040485382, 0.06759148836135864, 0.16942517459392548
ENSMUSG00000044982, ENSMUSG00000022003, ENSMUSG00000029461, ENSMUSG00000064127, ENSMUSG00000031146, ENSMUSG00000042492, ENSMUSG00000028436
0.0017875321209430695, 0.014081940054893494, 0.01954168640077114, 0.04342524707317352, 0.04564698040485382, 0.06759148836135864, 0.16942517459392548
ENSMUSG00000044982, ENSMUSG00000022003, ENSMUSG00000029461, ENSMUSG00000064127, ENSMUSG00000031146, ENSMUSG00000042492, ENSMUSG00000028436
0.0017875321209430695, 0.014081940054893494, 0.01954168640077114, 0.04342524707317352, 0.04564698040485382, 0.06759148836135864, 0.16942517459392548
