ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.040513791143894196, 0.09435275197029114, 0.16755475103855133, 0.2543115019798279
ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.040513791143894196, 0.09435275197029114, 0.16755475103855133, 0.2543115019798279
ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.040513791143894196, 0.09435275197029114, 0.16755475103855133, 0.2543115019798279
ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.040513791143894196, 0.09435275197029114, 0.16755475103855133, 0.2543115019798279
ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.040513791143894196, 0.09435275197029114, 0.16755475103855133, 0.2543115019798279
