ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.02378806844353676, 0.11182799935340881, 0.2041398584842682, 0.30182939767837524
ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.02378806844353676, 0.11182799935340881, 0.2041398584842682, 0.30182939767837524
ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.02378806844353676, 0.11182799935340881, 0.2041398584842682, 0.30182939767837524
ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.02378806844353676, 0.11182799935340881, 0.2041398584842682, 0.30182939767837524
ENSMUSG00000025986, ENSMUSG00000046798, ENSMUSG00000027428, ENSMUSG00000002731
0.02378806844353676, 0.11182799935340881, 0.2041398584842682, 0.30182939767837524
