ENSMUSG00000062646, ENSMUSG00000068551, ENSMUSG00000048756, ENSMUSG00000079418
0.03605310246348381, 0.08589079976081848, 0.11245311796665192, 0.20459513366222382
ENSMUSG00000062646, ENSMUSG00000068551, ENSMUSG00000048756, ENSMUSG00000079418
0.03605310246348381, 0.08589079976081848, 0.11245311796665192, 0.20459513366222382
ENSMUSG00000062646, ENSMUSG00000068551, ENSMUSG00000048756, ENSMUSG00000079418
0.03605310246348381, 0.08589079976081848, 0.11245311796665192, 0.20459513366222382
ENSMUSG00000062646, ENSMUSG00000068551, ENSMUSG00000048756, ENSMUSG00000079418
0.03605310246348381, 0.08589079976081848, 0.11245311796665192, 0.20459513366222382
ENSMUSG00000062646, ENSMUSG00000068551, ENSMUSG00000048756, ENSMUSG00000079418
0.03605310246348381, 0.08589079976081848, 0.11245311796665192, 0.20459513366222382
