,files,seed,dof,mae,acc,bacc,cor_spearman,cor_pearson
1,~/data/simdata_v3_TS0.1_SS0.1.h5ad,6714,6,2.71902268760907,0.228621291448517,0.142857142857143,0.269205379106842,0.26473126643028
2,~/data/simdata_v3_TS0.1_SS0.1.h5ad,6032,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
3,~/data/simdata_v3_TS0.1_SS0.1.h5ad,5281,5,2.71902268760907,0.228621291448517,0.142857142857143,0.292288099016834,0.288670033479481
4,~/data/simdata_v3_TS0.1_SS0.1.h5ad,2252,11,2.66492146596859,0.232111692844677,0.146258503401361,0.308631674812927,0.298999608321211
5,~/data/simdata_v3_TS0.1_SS0.1.h5ad,3570,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
6,~/data/simdata_v3_TS0.1_SS0.3.h5ad,1983,4,2.71902268760907,0.228621291448517,0.142857142857143,0.272832003454663,0.249687309641285
7,~/data/simdata_v3_TS0.1_SS0.3.h5ad,4922,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
8,~/data/simdata_v3_TS0.1_SS0.3.h5ad,5064,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
9,~/data/simdata_v3_TS0.1_SS0.3.h5ad,8787,4,2.71902268760907,0.228621291448517,0.142857142857143,0.304283607009581,0.291957116734559
10,~/data/simdata_v3_TS0.1_SS0.3.h5ad,9757,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
11,~/data/simdata_v3_TS0.1_SS0.5.h5ad,7278,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
12,~/data/simdata_v3_TS0.1_SS0.5.h5ad,1853,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
13,~/data/simdata_v3_TS0.1_SS0.5.h5ad,9188,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
14,~/data/simdata_v3_TS0.1_SS0.5.h5ad,8535,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
15,~/data/simdata_v3_TS0.1_SS0.5.h5ad,9266,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
16,~/data/simdata_v3_TS0.1_SS0.7.h5ad,7686,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
17,~/data/simdata_v3_TS0.1_SS0.7.h5ad,5851,2,2.71902268760907,0.228621291448517,0.142857142857143,0.256446227102659,0.25410171121929
18,~/data/simdata_v3_TS0.1_SS0.7.h5ad,5797,5,2.71902268760907,0.228621291448517,0.142857142857143,0.274753180869984,0.266230437063562
19,~/data/simdata_v3_TS0.1_SS0.7.h5ad,5210,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
20,~/data/simdata_v3_TS0.1_SS0.7.h5ad,7500,6,2.71902268760907,0.228621291448517,0.142857142857143,0.258985447068944,0.273084788805899
21,~/data/simdata_v3_TS0.1_SS0.9.h5ad,1568,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
22,~/data/simdata_v3_TS0.1_SS0.9.h5ad,9237,4,2.71902268760907,0.228621291448517,0.142857142857143,0.288366807463487,0.281544303758771
23,~/data/simdata_v3_TS0.1_SS0.9.h5ad,4641,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
24,~/data/simdata_v3_TS0.1_SS0.9.h5ad,7467,9,2.65270506108202,0.228621291448517,0.143390006939625,0.319654162311032,0.304315487240288
25,~/data/simdata_v3_TS0.1_SS0.9.h5ad,8328,11,2.67190226876091,0.235602094240838,0.149659863945578,0.327583606554364,0.330350704181048
26,~/data/simdata_v3_TS0.3_SS0.1.h5ad,32,1,2.71902268760907,0.228621291448517,0.142857142857143,0.274214524778854,0.278222338066529
27,~/data/simdata_v3_TS0.3_SS0.1.h5ad,2056,7,2.71029668411867,0.228621291448517,0.142857142857143,0.333663282816159,0.323132249688734
28,~/data/simdata_v3_TS0.3_SS0.1.h5ad,1491,6,2.66841186736475,0.230366492146597,0.145167990860466,0.34162226043769,0.342928527417986
29,~/data/simdata_v3_TS0.3_SS0.1.h5ad,5611,3,2.71902268760907,0.228621291448517,0.142857142857143,0.313567049895705,0.3266527987027
30,~/data/simdata_v3_TS0.3_SS0.1.h5ad,2986,0,2.71902268760907,0.228621291448517,0.142857142857143,NA,NA
31,~/data/simdata_v3_TS0.3_SS0.3.h5ad,6693,5,2.71902268760907,0.228621291448517,0.142857142857143,0.32581890122085,0.346873378410531
32,~/data/simdata_v3_TS0.3_SS0.3.h5ad,1539,22,2.16404886561955,0.260034904013962,0.182370739377745,0.376399619483934,0.401136919692714
33,~/data/simdata_v3_TS0.3_SS0.3.h5ad,9391,20,2.28097731239093,0.246073298429319,0.167332304191628,0.396424362981911,0.418423313445142
34,~/data/simdata_v3_TS0.3_SS0.3.h5ad,3995,19,2.31239092495637,0.24956369982548,0.16997715116581,0.395715200756491,0.422998961924534
35,~/data/simdata_v3_TS0.3_SS0.3.h5ad,8269,11,2.59860383944154,0.233856893542757,0.150399854598328,0.361475065083126,0.372165453045081
36,~/data/simdata_v3_TS0.3_SS0.5.h5ad,7499,16,2.59860383944154,0.239092495636998,0.153671392221011,0.349974210840982,0.361404832050436
37,~/data/simdata_v3_TS0.3_SS0.5.h5ad,2883,10,2.47469458987784,0.2478184991274,0.163395129043984,0.336580590909442,0.342430324058994
38,~/data/simdata_v3_TS0.3_SS0.5.h5ad,2904,5,2.6282722513089,0.233856893542757,0.148569351404684,0.318552656013971,0.328273368358575
