ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
0.008186733350157738, 0.017594730481505394, 0.01786714419722557, 0.025650039315223694
ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
0.008186733350157738, 0.017594730481505394, 0.01786714419722557, 0.025650039315223694
ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
0.008186733350157738, 0.017594730481505394, 0.01786714419722557, 0.025650039315223694
ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
0.008186733350157738, 0.017594730481505394, 0.01786714419722557, 0.025650039315223694
ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
0.008186733350157738, 0.017594730481505394, 0.01786714419722557, 0.025650039315223694
