ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0023984434083104134, 0.0247173011302948, 0.0278194397687912
ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0023984434083104134, 0.0247173011302948, 0.0278194397687912
ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0023984434083104134, 0.0247173011302948, 0.0278194397687912
ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0023984434083104134, 0.0247173011302948, 0.0278194397687912
ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0023984434083104134, 0.0247173011302948, 0.0278194397687912
