ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0016060639172792435, 0.01983739249408245, 0.0223187617957592
ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0016060639172792435, 0.01983739249408245, 0.0223187617957592
ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0016060639172792435, 0.01983739249408245, 0.0223187617957592
ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0016060639172792435, 0.01983739249408245, 0.0223187617957592
ENSMUSG00000041769, ENSMUSG00000019831, ENSMUSG00000034751
0.0016060639172792435, 0.01983739249408245, 0.0223187617957592
