ENSMUSG00000071112, ENSMUSG00000022791, ENSMUSG00000099984, ENSMUSG00000090744, ENSMUSG00000021936, ENSMUSG00000090889, ENSMUSG00000097173, ENSMUSG00000002458, ENSMUSG00000042284, ENSMUSG00000020696, ENSMUSG00000097343, ENSMUSG00000022456, ENSMUSG00000098614, ENSMUSG00000074811, ENSMUSG00000023931, ENSMUSG00000026102, ENSMUSG00000022377, ENSMUSG00000003135, ENSMUSG00000054752, ENSMUSG00000040596, ENSMUSG00000002799, ENSMUSG00000066000, ENSMUSG00000028399, ENSMUSG00000033632, ENSMUSG00000001763, ENSMUSG00000027695, ENSMUSG00000018796, ENSMUSG00000089809
0.009754979982972145, 0.01208977960050106, 0.015246523544192314, 0.02277037873864174, 0.024779099971055984, 0.027753960341215134, 0.030124202370643616, 0.03268112614750862, 0.039709094911813736, 0.04177723824977875, 0.046032778918743134, 0.05137939751148224, 0.05413327366113663, 0.0680527538061142, 0.07893875986337662, 0.08637353032827377, 0.08725135773420334, 0.12241822481155396, 0.1348901242017746, 0.14122192561626434, 0.15757080912590027, 0.19586503505706787, 0.22272950410842896, 0.25514379143714905, 0.2939172387123108, 0.33116263151168823, 0.34988242387771606, 0.40192344784736633
ENSMUSG00000071112, ENSMUSG00000022791, ENSMUSG00000099984, ENSMUSG00000090744, ENSMUSG00000021936, ENSMUSG00000090889, ENSMUSG00000097173, ENSMUSG00000002458, ENSMUSG00000042284, ENSMUSG00000020696, ENSMUSG00000097343, ENSMUSG00000022456, ENSMUSG00000098614, ENSMUSG00000074811, ENSMUSG00000023931, ENSMUSG00000026102, ENSMUSG00000022377, ENSMUSG00000003135, ENSMUSG00000054752, ENSMUSG00000040596, ENSMUSG00000002799, ENSMUSG00000066000, ENSMUSG00000028399, ENSMUSG00000033632, ENSMUSG00000001763, ENSMUSG00000027695, ENSMUSG00000018796, ENSMUSG00000089809
0.009754979982972145, 0.01208977960050106, 0.015246523544192314, 0.02277037873864174, 0.024779099971055984, 0.027753960341215134, 0.030124202370643616, 0.03268112614750862, 0.039709094911813736, 0.04177723824977875, 0.046032778918743134, 0.05137939751148224, 0.05413327366113663, 0.0680527538061142, 0.07893875986337662, 0.08637353032827377, 0.08725135773420334, 0.12241822481155396, 0.1348901242017746, 0.14122192561626434, 0.15757080912590027, 0.19586503505706787, 0.22272950410842896, 0.25514379143714905, 0.2939172387123108, 0.33116263151168823, 0.34988242387771606, 0.40192344784736633
ENSMUSG00000071112, ENSMUSG00000022791, ENSMUSG00000099984, ENSMUSG00000090744, ENSMUSG00000021936, ENSMUSG00000090889, ENSMUSG00000097173, ENSMUSG00000002458, ENSMUSG00000042284, ENSMUSG00000020696, ENSMUSG00000097343, ENSMUSG00000022456, ENSMUSG00000098614, ENSMUSG00000074811, ENSMUSG00000023931, ENSMUSG00000026102, ENSMUSG00000022377, ENSMUSG00000003135, ENSMUSG00000054752, ENSMUSG00000040596, ENSMUSG00000002799, ENSMUSG00000066000, ENSMUSG00000028399, ENSMUSG00000033632, ENSMUSG00000001763, ENSMUSG00000027695, ENSMUSG00000018796, ENSMUSG00000089809
0.009754979982972145, 0.01208977960050106, 0.015246523544192314, 0.02277037873864174, 0.024779099971055984, 0.027753960341215134, 0.030124202370643616, 0.03268112614750862, 0.039709094911813736, 0.04177723824977875, 0.046032778918743134, 0.05137939751148224, 0.05413327366113663, 0.0680527538061142, 0.07893875986337662, 0.08637353032827377, 0.08725135773420334, 0.12241822481155396, 0.1348901242017746, 0.14122192561626434, 0.15757080912590027, 0.19586503505706787, 0.22272950410842896, 0.25514379143714905, 0.2939172387123108, 0.33116263151168823, 0.34988242387771606, 0.40192344784736633
ENSMUSG00000071112, ENSMUSG00000022791, ENSMUSG00000099984, ENSMUSG00000090744, ENSMUSG00000021936, ENSMUSG00000090889, ENSMUSG00000097173, ENSMUSG00000002458, ENSMUSG00000042284, ENSMUSG00000020696, ENSMUSG00000097343, ENSMUSG00000022456, ENSMUSG00000098614, ENSMUSG00000074811, ENSMUSG00000023931, ENSMUSG00000026102, ENSMUSG00000022377, ENSMUSG00000003135, ENSMUSG00000054752, ENSMUSG00000040596, ENSMUSG00000002799, ENSMUSG00000066000, ENSMUSG00000028399, ENSMUSG00000033632, ENSMUSG00000001763, ENSMUSG00000027695, ENSMUSG00000018796, ENSMUSG00000089809
0.009754979982972145, 0.01208977960050106, 0.015246523544192314, 0.02277037873864174, 0.024779099971055984, 0.027753960341215134, 0.030124202370643616, 0.03268112614750862, 0.039709094911813736, 0.04177723824977875, 0.046032778918743134, 0.05137939751148224, 0.05413327366113663, 0.0680527538061142, 0.07893875986337662, 0.08637353032827377, 0.08725135773420334, 0.12241822481155396, 0.1348901242017746, 0.14122192561626434, 0.15757080912590027, 0.19586503505706787, 0.22272950410842896, 0.25514379143714905, 0.2939172387123108, 0.33116263151168823, 0.34988242387771606, 0.40192344784736633
ENSMUSG00000071112, ENSMUSG00000022791, ENSMUSG00000099984, ENSMUSG00000090744, ENSMUSG00000021936, ENSMUSG00000090889, ENSMUSG00000097173, ENSMUSG00000002458, ENSMUSG00000042284, ENSMUSG00000020696, ENSMUSG00000097343, ENSMUSG00000022456, ENSMUSG00000098614, ENSMUSG00000074811, ENSMUSG00000023931, ENSMUSG00000026102, ENSMUSG00000022377, ENSMUSG00000003135, ENSMUSG00000054752, ENSMUSG00000040596, ENSMUSG00000002799, ENSMUSG00000066000, ENSMUSG00000028399, ENSMUSG00000033632, ENSMUSG00000001763, ENSMUSG00000027695, ENSMUSG00000018796, ENSMUSG00000089809
0.009754979982972145, 0.01208977960050106, 0.015246523544192314, 0.02277037873864174, 0.024779099971055984, 0.027753960341215134, 0.030124202370643616, 0.03268112614750862, 0.039709094911813736, 0.04177723824977875, 0.046032778918743134, 0.05137939751148224, 0.05413327366113663, 0.0680527538061142, 0.07893875986337662, 0.08637353032827377, 0.08725135773420334, 0.12241822481155396, 0.1348901242017746, 0.14122192561626434, 0.15757080912590027, 0.19586503505706787, 0.22272950410842896, 0.25514379143714905, 0.2939172387123108, 0.33116263151168823, 0.34988242387771606, 0.40192344784736633
