ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000028436, ENSMUSG00000052419, ENSMUSG00000062944, ENSMUSG00000028114, ENSMUSG00000048307
0.004990819841623306, 0.0069427527487277985, 0.046685464680194855, 0.15576961636543274, 0.15992556512355804, 0.23599594831466675, 0.2535931169986725, 0.31438735127449036
ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000028436, ENSMUSG00000052419, ENSMUSG00000062944, ENSMUSG00000028114, ENSMUSG00000048307
0.004990819841623306, 0.0069427527487277985, 0.046685464680194855, 0.15576961636543274, 0.15992556512355804, 0.23599594831466675, 0.2535931169986725, 0.31438735127449036
ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000028436, ENSMUSG00000052419, ENSMUSG00000062944, ENSMUSG00000028114, ENSMUSG00000048307
0.004990819841623306, 0.0069427527487277985, 0.046685464680194855, 0.15576961636543274, 0.15992556512355804, 0.23599594831466675, 0.2535931169986725, 0.31438735127449036
ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000028436, ENSMUSG00000052419, ENSMUSG00000062944, ENSMUSG00000028114, ENSMUSG00000048307
0.004990819841623306, 0.0069427527487277985, 0.046685464680194855, 0.15576961636543274, 0.15992556512355804, 0.23599594831466675, 0.2535931169986725, 0.31438735127449036
ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000028436, ENSMUSG00000052419, ENSMUSG00000062944, ENSMUSG00000028114, ENSMUSG00000048307
0.004990819841623306, 0.0069427527487277985, 0.046685464680194855, 0.15576961636543274, 0.15992556512355804, 0.23599594831466675, 0.2535931169986725, 0.31438735127449036
