ENSMUSG00000089663, ENSMUSG00000033486, ENSMUSG00000050530, ENSMUSG00000025792, ENSMUSG00000024972, ENSMUSG00000020111, ENSMUSG00000030045, ENSMUSG00000021144, ENSMUSG00000040234, ENSMUSG00000094030, ENSMUSG00000078062, ENSMUSG00000032307, ENSMUSG00000002731
0.005883760750293732, 0.01582503877580166, 0.029299378395080566, 0.035008348524570465, 0.03859339654445648, 0.05380687862634659, 0.0631517767906189, 0.06794924288988113, 0.0791928768157959, 0.10651864856481552, 0.11004168540239334, 0.11643336713314056, 0.3197648525238037
ENSMUSG00000089663, ENSMUSG00000033486, ENSMUSG00000050530, ENSMUSG00000025792, ENSMUSG00000024972, ENSMUSG00000020111, ENSMUSG00000030045, ENSMUSG00000021144, ENSMUSG00000040234, ENSMUSG00000094030, ENSMUSG00000078062, ENSMUSG00000032307, ENSMUSG00000002731
0.005883760750293732, 0.01582503877580166, 0.029299378395080566, 0.035008348524570465, 0.03859339654445648, 0.05380687862634659, 0.0631517767906189, 0.06794924288988113, 0.0791928768157959, 0.10651864856481552, 0.11004168540239334, 0.11643336713314056, 0.3197648525238037
ENSMUSG00000089663, ENSMUSG00000033486, ENSMUSG00000050530, ENSMUSG00000025792, ENSMUSG00000024972, ENSMUSG00000020111, ENSMUSG00000030045, ENSMUSG00000021144, ENSMUSG00000040234, ENSMUSG00000094030, ENSMUSG00000078062, ENSMUSG00000032307, ENSMUSG00000002731
0.005883760750293732, 0.01582503877580166, 0.029299378395080566, 0.035008348524570465, 0.03859339654445648, 0.05380687862634659, 0.0631517767906189, 0.06794924288988113, 0.0791928768157959, 0.10651864856481552, 0.11004168540239334, 0.11643336713314056, 0.3197648525238037
ENSMUSG00000089663, ENSMUSG00000033486, ENSMUSG00000050530, ENSMUSG00000025792, ENSMUSG00000024972, ENSMUSG00000020111, ENSMUSG00000030045, ENSMUSG00000021144, ENSMUSG00000040234, ENSMUSG00000094030, ENSMUSG00000078062, ENSMUSG00000032307, ENSMUSG00000002731
0.005883760750293732, 0.01582503877580166, 0.029299378395080566, 0.035008348524570465, 0.03859339654445648, 0.05380687862634659, 0.0631517767906189, 0.06794924288988113, 0.0791928768157959, 0.10651864856481552, 0.11004168540239334, 0.11643336713314056, 0.3197648525238037
ENSMUSG00000089663, ENSMUSG00000033486, ENSMUSG00000050530, ENSMUSG00000025792, ENSMUSG00000024972, ENSMUSG00000020111, ENSMUSG00000030045, ENSMUSG00000021144, ENSMUSG00000040234, ENSMUSG00000094030, ENSMUSG00000078062, ENSMUSG00000032307, ENSMUSG00000002731
0.005883760750293732, 0.01582503877580166, 0.029299378395080566, 0.035008348524570465, 0.03859339654445648, 0.05380687862634659, 0.0631517767906189, 0.06794924288988113, 0.0791928768157959, 0.10651864856481552, 0.11004168540239334, 0.11643336713314056, 0.3197648525238037
