ENSMUSG00000032113, ENSMUSG00000062944, ENSMUSG00000021936, ENSMUSG00000034570, ENSMUSG00000016262, ENSMUSG00000037029, ENSMUSG00000008153, ENSMUSG00000031561, ENSMUSG00000034751
0.004040929488837719, 0.004409080371260643, 0.0044463761150836945, 0.008272828534245491, 0.011749710887670517, 0.015663623809814453, 0.01760285720229149, 0.021393053233623505, 0.02753739431500435
ENSMUSG00000032113, ENSMUSG00000062944, ENSMUSG00000021936, ENSMUSG00000034570, ENSMUSG00000016262, ENSMUSG00000037029, ENSMUSG00000008153, ENSMUSG00000031561, ENSMUSG00000034751
0.004040929488837719, 0.004409080371260643, 0.0044463761150836945, 0.008272828534245491, 0.011749710887670517, 0.015663623809814453, 0.01760285720229149, 0.021393053233623505, 0.02753739431500435
ENSMUSG00000032113, ENSMUSG00000062944, ENSMUSG00000021936, ENSMUSG00000034570, ENSMUSG00000016262, ENSMUSG00000037029, ENSMUSG00000008153, ENSMUSG00000031561, ENSMUSG00000034751
0.004040929488837719, 0.004409080371260643, 0.0044463761150836945, 0.008272828534245491, 0.011749710887670517, 0.015663623809814453, 0.01760285720229149, 0.021393053233623505, 0.02753739431500435
ENSMUSG00000032113, ENSMUSG00000062944, ENSMUSG00000021936, ENSMUSG00000034570, ENSMUSG00000016262, ENSMUSG00000037029, ENSMUSG00000008153, ENSMUSG00000031561, ENSMUSG00000034751
0.004040929488837719, 0.004409080371260643, 0.0044463761150836945, 0.008272828534245491, 0.011749710887670517, 0.015663623809814453, 0.01760285720229149, 0.021393053233623505, 0.02753739431500435
ENSMUSG00000032113, ENSMUSG00000062944, ENSMUSG00000021936, ENSMUSG00000034570, ENSMUSG00000016262, ENSMUSG00000037029, ENSMUSG00000008153, ENSMUSG00000031561, ENSMUSG00000034751
0.004040929488837719, 0.004409080371260643, 0.0044463761150836945, 0.008272828534245491, 0.011749710887670517, 0.015663623809814453, 0.01760285720229149, 0.021393053233623505, 0.02753739431500435
