ENSMUSG00000025646, ENSMUSG00000086907, ENSMUSG00000020312, ENSMUSG00000054942, ENSMUSG00000068551, ENSMUSG00000024338, ENSMUSG00000048756, ENSMUSG00000094685
0.01389431580901146, 0.02226756140589714, 0.047179706394672394, 0.07590680569410324, 0.0834275335073471, 0.0882355347275734, 0.1273345798254013, 0.1330951750278473
ENSMUSG00000025646, ENSMUSG00000086907, ENSMUSG00000020312, ENSMUSG00000054942, ENSMUSG00000068551, ENSMUSG00000024338, ENSMUSG00000048756, ENSMUSG00000094685
0.01389431580901146, 0.02226756140589714, 0.047179706394672394, 0.07590680569410324, 0.0834275335073471, 0.0882355347275734, 0.1273345798254013, 0.1330951750278473
ENSMUSG00000025646, ENSMUSG00000086907, ENSMUSG00000020312, ENSMUSG00000054942, ENSMUSG00000068551, ENSMUSG00000024338, ENSMUSG00000048756, ENSMUSG00000094685
0.01389431580901146, 0.02226756140589714, 0.047179706394672394, 0.07590680569410324, 0.0834275335073471, 0.0882355347275734, 0.1273345798254013, 0.1330951750278473
ENSMUSG00000025646, ENSMUSG00000086907, ENSMUSG00000020312, ENSMUSG00000054942, ENSMUSG00000068551, ENSMUSG00000024338, ENSMUSG00000048756, ENSMUSG00000094685
0.01389431580901146, 0.02226756140589714, 0.047179706394672394, 0.07590680569410324, 0.0834275335073471, 0.0882355347275734, 0.1273345798254013, 0.1330951750278473
ENSMUSG00000025646, ENSMUSG00000086907, ENSMUSG00000020312, ENSMUSG00000054942, ENSMUSG00000068551, ENSMUSG00000024338, ENSMUSG00000048756, ENSMUSG00000094685
0.01389431580901146, 0.02226756140589714, 0.047179706394672394, 0.07590680569410324, 0.0834275335073471, 0.0882355347275734, 0.1273345798254013, 0.1330951750278473
