ENSMUSG00000059811, ENSMUSG00000031146, ENSMUSG00000046516, ENSMUSG00000014470, ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000042492, ENSMUSG00000028114, ENSMUSG00000052419, ENSMUSG00000028436, ENSMUSG00000062944, ENSMUSG00000048307
0.0014614686369895935, 0.002249106764793396, 0.006424359045922756, 0.027982033789157867, 0.032213080674409866, 0.03269196301698685, 0.04359769448637962, 0.044920649379491806, 0.08671559393405914, 0.0946955606341362, 0.12056013941764832, 0.12759214639663696, 0.17565155029296875
ENSMUSG00000059811, ENSMUSG00000031146, ENSMUSG00000046516, ENSMUSG00000014470, ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000042492, ENSMUSG00000028114, ENSMUSG00000052419, ENSMUSG00000028436, ENSMUSG00000062944, ENSMUSG00000048307
0.0014614686369895935, 0.002249106764793396, 0.006424359045922756, 0.027982033789157867, 0.032213080674409866, 0.03269196301698685, 0.04359769448637962, 0.044920649379491806, 0.08671559393405914, 0.0946955606341362, 0.12056013941764832, 0.12759214639663696, 0.17565155029296875
ENSMUSG00000059811, ENSMUSG00000031146, ENSMUSG00000046516, ENSMUSG00000014470, ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000042492, ENSMUSG00000028114, ENSMUSG00000052419, ENSMUSG00000028436, ENSMUSG00000062944, ENSMUSG00000048307
0.0014614686369895935, 0.002249106764793396, 0.006424359045922756, 0.027982033789157867, 0.032213080674409866, 0.03269196301698685, 0.04359769448637962, 0.044920649379491806, 0.08671559393405914, 0.0946955606341362, 0.12056013941764832, 0.12759214639663696, 0.17565155029296875
ENSMUSG00000059811, ENSMUSG00000031146, ENSMUSG00000046516, ENSMUSG00000014470, ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000042492, ENSMUSG00000028114, ENSMUSG00000052419, ENSMUSG00000028436, ENSMUSG00000062944, ENSMUSG00000048307
0.0014614686369895935, 0.002249106764793396, 0.006424359045922756, 0.027982033789157867, 0.032213080674409866, 0.03269196301698685, 0.04359769448637962, 0.044920649379491806, 0.08671559393405914, 0.0946955606341362, 0.12056013941764832, 0.12759214639663696, 0.17565155029296875
ENSMUSG00000059811, ENSMUSG00000031146, ENSMUSG00000046516, ENSMUSG00000014470, ENSMUSG00000042354, ENSMUSG00000022500, ENSMUSG00000059824, ENSMUSG00000042492, ENSMUSG00000028114, ENSMUSG00000052419, ENSMUSG00000028436, ENSMUSG00000062944, ENSMUSG00000048307
0.0014614686369895935, 0.002249106764793396, 0.006424359045922756, 0.027982033789157867, 0.032213080674409866, 0.03269196301698685, 0.04359769448637962, 0.044920649379491806, 0.08671559393405914, 0.0946955606341362, 0.12056013941764832, 0.12759214639663696, 0.17565155029296875
