ENSMUSG00000013539, ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
8.126813918352127e-05, 0.009679237380623817, 0.01694728061556816, 0.017185237258672714, 0.023345187306404114
ENSMUSG00000013539, ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
8.126813918352127e-05, 0.009679237380623817, 0.01694728061556816, 0.017185237258672714, 0.023345187306404114
ENSMUSG00000013539, ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
8.126813918352127e-05, 0.009679237380623817, 0.01694728061556816, 0.017185237258672714, 0.023345187306404114
ENSMUSG00000013539, ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
8.126813918352127e-05, 0.009679237380623817, 0.01694728061556816, 0.017185237258672714, 0.023345187306404114
ENSMUSG00000013539, ENSMUSG00000020492, ENSMUSG00000016262, ENSMUSG00000021666, ENSMUSG00000038002
8.126813918352127e-05, 0.009679237380623817, 0.01694728061556816, 0.017185237258672714, 0.023345187306404114
