ENSMUSG00000025792, ENSMUSG00000033486, ENSMUSG00000021144, ENSMUSG00000089663, ENSMUSG00000020111, ENSMUSG00000050530, ENSMUSG00000030045, ENSMUSG00000024972, ENSMUSG00000032307, ENSMUSG00000078062, ENSMUSG00000094030, ENSMUSG00000002731
0.004425942897796631, 0.009559568017721176, 0.01329905353486538, 0.01672135293483734, 0.02502918243408203, 0.03407657891511917, 0.04819082096219063, 0.04919477552175522, 0.05594354867935181, 0.07262276113033295, 0.07399061322212219, 0.24821725487709045
ENSMUSG00000025792, ENSMUSG00000033486, ENSMUSG00000021144, ENSMUSG00000089663, ENSMUSG00000020111, ENSMUSG00000050530, ENSMUSG00000030045, ENSMUSG00000024972, ENSMUSG00000032307, ENSMUSG00000078062, ENSMUSG00000094030, ENSMUSG00000002731
0.004425942897796631, 0.009559568017721176, 0.01329905353486538, 0.01672135293483734, 0.02502918243408203, 0.03407657891511917, 0.04819082096219063, 0.04919477552175522, 0.05594354867935181, 0.07262276113033295, 0.07399061322212219, 0.24821725487709045
ENSMUSG00000025792, ENSMUSG00000033486, ENSMUSG00000021144, ENSMUSG00000089663, ENSMUSG00000020111, ENSMUSG00000050530, ENSMUSG00000030045, ENSMUSG00000024972, ENSMUSG00000032307, ENSMUSG00000078062, ENSMUSG00000094030, ENSMUSG00000002731
0.004425942897796631, 0.009559568017721176, 0.01329905353486538, 0.01672135293483734, 0.02502918243408203, 0.03407657891511917, 0.04819082096219063, 0.04919477552175522, 0.05594354867935181, 0.07262276113033295, 0.07399061322212219, 0.24821725487709045
ENSMUSG00000025792, ENSMUSG00000033486, ENSMUSG00000021144, ENSMUSG00000089663, ENSMUSG00000020111, ENSMUSG00000050530, ENSMUSG00000030045, ENSMUSG00000024972, ENSMUSG00000032307, ENSMUSG00000078062, ENSMUSG00000094030, ENSMUSG00000002731
0.004425942897796631, 0.009559568017721176, 0.01329905353486538, 0.01672135293483734, 0.02502918243408203, 0.03407657891511917, 0.04819082096219063, 0.04919477552175522, 0.05594354867935181, 0.07262276113033295, 0.07399061322212219, 0.24821725487709045
ENSMUSG00000025792, ENSMUSG00000033486, ENSMUSG00000021144, ENSMUSG00000089663, ENSMUSG00000020111, ENSMUSG00000050530, ENSMUSG00000030045, ENSMUSG00000024972, ENSMUSG00000032307, ENSMUSG00000078062, ENSMUSG00000094030, ENSMUSG00000002731
0.004425942897796631, 0.009559568017721176, 0.01329905353486538, 0.01672135293483734, 0.02502918243408203, 0.03407657891511917, 0.04819082096219063, 0.04919477552175522, 0.05594354867935181, 0.07262276113033295, 0.07399061322212219, 0.24821725487709045
