CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
CHLD 28612 245.531250 1691762316.6350
CHLD 28613 226.410156 1691762316.6371
CHLD 28614 224.375000 1691762316.6372
MEM 1795.679688 1691762316.7451
CHLD 28608 52.062500 1691762316.7523
CHLD 28609 12.582031 1691762316.7524
CHLD 28610 245.015625 1691762316.7524
CHLD 28611 244.253906 1691762316.7524
CHLD 28612 245.781250 1691762316.7524
CHLD 28613 230.910156 1691762316.7525
CHLD 28614 234.160156 1691762316.7525
MEM 1814.925781 1691762316.8604
CHLD 28608 52.062500 1691762316.8671
CHLD 28609 12.582031 1691762316.8672
CHLD 28610 245.015625 1691762316.8672
CHLD 28611 245.253906 1691762316.8672
CHLD 28612 248.406250 1691762316.8673
CHLD 28613 237.531250 1691762316.8673
CHLD 28614 244.910156 1691762316.8673
MEM 1830.550781 1691762316.9752
CHLD 28608 52.062500 1691762316.9823
CHLD 28609 12.582031 1691762316.9824
CHLD 28610 246.890625 1691762316.9824
CHLD 28611 247.378906 1691762316.9824
CHLD 28612 252.656250 1691762316.9825
CHLD 28613 242.906250 1691762316.9825
CHLD 28614 245.660156 1691762316.9825
MEM 1844.800781 1691762317.0898
CHLD 28608 52.062500 1691762317.0970
CHLD 28609 12.582031 1691762317.0970
CHLD 28610 250.265625 1691762317.0970
CHLD 28611 251.503906 1691762317.0971
CHLD 28612 255.031250 1691762317.0971
CHLD 28613 245.281250 1691762317.0971
CHLD 28614 247.410156 1691762317.0971
MEM 1860.628906 1691762317.2045
CHLD 28608 52.062500 1691762317.2247
CHLD 28609 12.582031 1691762317.2248
CHLD 28610 253.390625 1691762317.2248
CHLD 28611 253.503906 1691762317.2248
CHLD 28612 264.109375 1691762317.2249
CHLD 28613 245.406250 1691762317.2249
CHLD 28614 252.285156 1691762317.2249
MEM 1882.328125 1691762317.3327
CHLD 28608 52.062500 1691762317.3459
CHLD 28609 12.582031 1691762317.3459
CHLD 28610 256.988281 1691762317.3459
CHLD 28611 258.855469 1691762317.3460
CHLD 28612 271.984375 1691762317.3460
CHLD 28613 247.156250 1691762317.3460
