CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 698.937500 1691757128.2816
MEM 698.937500 1691757128.3819
MEM 698.937500 1691757128.4821
MEM 698.937500 1691757128.5823
MEM 698.937500 1691757128.6825
MEM 698.937500 1691757128.7828
MEM 698.937500 1691757128.8830
MEM 698.937500 1691757128.9833
MEM 698.937500 1691757129.0835
MEM 646.011719 1691757129.1837
MEM 688.886719 1691757129.2839
MEM 688.886719 1691757129.3842
MEM 688.886719 1691757129.4844
MEM 688.886719 1691757129.5847
MEM 688.886719 1691757129.6849
MEM 698.636719 1691757129.7852
MEM 698.636719 1691757129.8854
MEM 698.636719 1691757129.9857
MEM 698.636719 1691757130.0859
MEM 698.636719 1691757130.1862
MEM 698.636719 1691757130.2864
MEM 698.636719 1691757130.3867
MEM 698.636719 1691757130.4869
MEM 698.636719 1691757130.5872
MEM 698.636719 1691757130.6874
MEM 698.636719 1691757130.7876
MEM 698.636719 1691757130.8879
MEM 698.636719 1691757130.9881
MEM 698.636719 1691757131.0884
MEM 698.636719 1691757131.1886
MEM 698.636719 1691757131.2889
MEM 698.636719 1691757131.3891
MEM 698.636719 1691757131.4894
MEM 698.636719 1691757131.5896
MEM 698.636719 1691757131.6899
MEM 698.636719 1691757131.7901
MEM 698.636719 1691757131.8903
MEM 698.636719 1691757131.9906
MEM 698.636719 1691757132.0908
MEM 698.636719 1691757132.1911
MEM 698.636719 1691757132.2913
MEM 698.636719 1691757132.3916
MEM 698.636719 1691757132.4918
MEM 579.324219 1691757132.5921
MEM 667.781250 1691757132.6924
MEM 667.781250 1691757132.7927
MEM 689.281250 1691757132.8929
MEM 689.281250 1691757132.9933
MEM 689.281250 1691757133.0937
MEM 689.281250 1691757133.1939
MEM 689.281250 1691757133.2941
MEM 689.406250 1691757133.3945
MEM 699.031250 1691757133.4949
MEM 699.031250 1691757133.5951
MEM 699.031250 1691757133.6954
MEM 699.031250 1691757133.7956
MEM 699.031250 1691757133.8958
MEM 699.031250 1691757133.9961
MEM 699.031250 1691757134.0963
MEM 699.031250 1691757134.1965
MEM 699.031250 1691757134.2968
MEM 699.031250 1691757134.3970
MEM 699.031250 1691757134.4973
MEM 699.031250 1691757134.5976
MEM 699.031250 1691757134.6979
MEM 699.031250 1691757134.7981
MEM 699.031250 1691757134.8984
MEM 699.031250 1691757134.9986
MEM 699.031250 1691757135.0989
MEM 699.031250 1691757135.1991
MEM 699.031250 1691757135.2994
MEM 699.031250 1691757135.3996
MEM 699.031250 1691757135.4999
MEM 699.031250 1691757135.6001
MEM 699.031250 1691757135.7003
MEM 699.031250 1691757135.8006
MEM 699.031250 1691757135.9009
MEM 699.031250 1691757136.0011
MEM 603.453125 1691757136.1013
MEM 667.703125 1691757136.2016
MEM 667.703125 1691757136.3018
MEM 689.328125 1691757136.4021
MEM 689.328125 1691757136.5023
MEM 689.328125 1691757136.6026
MEM 689.328125 1691757136.7028
MEM 689.328125 1691757136.8031
MEM 698.953125 1691757136.9033
MEM 698.953125 1691757137.0036
MEM 698.953125 1691757137.1038
MEM 698.953125 1691757137.2040
MEM 698.953125 1691757137.3043
MEM 698.953125 1691757137.4047
MEM 698.953125 1691757137.5051
MEM 698.953125 1691757137.6053
MEM 698.953125 1691757137.7055
MEM 698.953125 1691757137.8058
MEM 698.953125 1691757137.9060
MEM 698.953125 1691757138.0063
MEM 698.953125 1691757138.1065
MEM 698.953125 1691757138.2067
MEM 698.953125 1691757138.3070
MEM 698.953125 1691757138.4072
MEM 698.953125 1691757138.5075
MEM 698.953125 1691757138.6077
MEM 698.953125 1691757138.7079
MEM 698.953125 1691757138.8082
MEM 698.953125 1691757138.9084
MEM 698.953125 1691757139.0087
MEM 698.953125 1691757139.1089
MEM 698.953125 1691757139.2092
MEM 698.953125 1691757139.3095
MEM 698.953125 1691757139.4097
MEM 698.953125 1691757139.5099
MEM 579.324219 1691757139.6103
MEM 667.781250 1691757139.7106
MEM 667.781250 1691757139.8108
MEM 689.281250 1691757139.9110
MEM 689.281250 1691757140.0115
MEM 689.281250 1691757140.1118
MEM 689.281250 1691757140.2120
MEM 689.281250 1691757140.3125
MEM 698.531250 1691757140.4128
MEM 699.031250 1691757140.5130
MEM 699.031250 1691757140.6133
MEM 699.031250 1691757140.7135
MEM 699.031250 1691757140.8137
MEM 699.031250 1691757140.9140
MEM 699.031250 1691757141.0143
MEM 699.031250 1691757141.1145
