CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
CHLD 25957 12.582031 1691760745.6413
CHLD 25958 371.375000 1691760745.6414
CHLD 25959 281.054688 1691760745.6414
CHLD 25960 281.148438 1691760745.6414
CHLD 25961 265.390625 1691760745.6414
MEM 1937.996094 1691760745.7484
CHLD 25956 51.957031 1691760745.7573
CHLD 25957 12.582031 1691760745.7573
CHLD 25958 371.875000 1691760745.7573
CHLD 25959 371.203125 1691760745.7573
CHLD 25960 371.394531 1691760745.7574
CHLD 25961 272.515625 1691760745.7574
MEM 2069.949219 1691760745.8642
CHLD 25956 51.957031 1691760745.8802
CHLD 25957 12.582031 1691760745.8803
CHLD 25958 449.460938 1691760745.8803
CHLD 25959 371.453125 1691760745.8804
CHLD 25960 371.644531 1691760745.8804
CHLD 25961 280.847656 1691760745.8804
MEM 2222.468750 1691760745.9878
CHLD 25956 51.957031 1691760746.0035
CHLD 25957 12.582031 1691760746.0035
CHLD 25958 428.277344 1691760746.0036
CHLD 25959 427.796875 1691760746.0036
CHLD 25960 449.527344 1691760746.0036
CHLD 25961 284.972656 1691760746.0036
MEM 2332.539062 1691760746.1105
CHLD 25956 51.957031 1691760746.1218
CHLD 25957 12.582031 1691760746.1218
CHLD 25958 451.714844 1691760746.1218
CHLD 25959 466.910156 1691760746.1219
CHLD 25960 470.906250 1691760746.1219
CHLD 25961 371.214844 1691760746.1219
MEM 2372.277344 1691760746.2292
CHLD 25956 51.957031 1691760746.2365
CHLD 25957 12.582031 1691760746.2365
CHLD 25958 470.851562 1691760746.2365
CHLD 25959 491.894531 1691760746.2366
CHLD 25960 447.398438 1691760746.2366
CHLD 25961 371.464844 1691760746.2366
MEM 2400.230469 1691760746.3429
CHLD 25956 51.957031 1691760746.3490
CHLD 25957 12.582031 1691760746.3490
CHLD 25958 492.476562 1691760746.3490
CHLD 25959 471.644531 1691760746.3491
CHLD 25960 457.859375 1691760746.3491
CHLD 25961 381.582031 1691760746.3491
MEM 2444.589844 1691760746.4564
CHLD 25956 51.957031 1691760746.4734
CHLD 25957 12.582031 1691760746.4735
CHLD 25958 492.476562 1691760746.4735
CHLD 25959 449.257812 1691760746.4735
CHLD 25960 470.859375 1691760746.4735
CHLD 25961 427.789062 1691760746.4736
MEM 2453.437500 1691760746.5816
CHLD 25956 51.957031 1691760746.5927
CHLD 25957 12.582031 1691760746.5927
CHLD 25958 493.976562 1691760746.5928
CHLD 25959 461.644531 1691760746.5928
CHLD 25960 471.859375 1691760746.5928
CHLD 25961 429.289062 1691760746.5928
MEM 2468.496094 1691760746.7001
CHLD 25956 51.957031 1691760746.7162
CHLD 25957 12.582031 1691760746.7162
CHLD 25958 480.738281 1691760746.7162
CHLD 25959 449.257812 1691760746.7163
CHLD 25960 492.484375 1691760746.7163
CHLD 25961 449.347656 1691760746.7163
MEM 2536.898438 1691760746.8262
CHLD 25956 51.957031 1691760746.8450
CHLD 25957 12.582031 1691760746.8450
CHLD 25958 480.738281 1691760746.8451
CHLD 25959 491.988281 1691760746.8451
CHLD 25960 492.484375 1691760746.8451
CHLD 25961 485.019531 1691760746.8451
MEM 2526.570312 1691760746.9519
CHLD 25956 51.957031 1691760746.9647
CHLD 25957 12.582031 1691760746.9647
CHLD 25958 502.210938 1691760746.9648
CHLD 25959 459.164062 1691760746.9648
CHLD 25960 492.484375 1691760746.9649
CHLD 25961 433.457031 1691760746.9649
MEM 2509.296875 1691760747.0732
CHLD 25956 51.957031 1691760747.0939
CHLD 25957 12.582031 1691760747.0939
CHLD 25958 459.429688 1691760747.0939
CHLD 25959 459.164062 1691760747.0939
CHLD 25960 459.371094 1691760747.0940
CHLD 25961 449.359375 1691760747.0940
