"","lambda","score_var","score_val","fold","data"
"1",1,"xentropy",2.70298909388212,1,"train"
"2",0.794328234724281,"xentropy",2.70235512984872,1,"train"
"3",0.630957344480193,"xentropy",2.70211341507828,1,"train"
"4",0.501187233627272,"xentropy",2.70211463771524,1,"train"
"5",0.398107170553497,"xentropy",2.70211696594281,1,"train"
"6",0.316227766016838,"xentropy",2.70211734302697,1,"train"
"7",0.251188643150958,"xentropy",2.70211740080209,1,"train"
"8",0.199526231496888,"xentropy",2.7021173995176,1,"train"
"9",0.158489319246111,"xentropy",2.62166378525296,1,"train"
"10",0.125892541179417,"xentropy",2.521451719913,1,"train"
"11",0.1,"xentropy",2.39368570325401,1,"train"
"12",0.0794328234724281,"xentropy",2.27904419609672,1,"train"
"13",0.0630957344480193,"xentropy",2.17116641549686,1,"train"
"14",0.0501187233627272,"xentropy",2.0733732649968,1,"train"
"15",0.0398107170553497,"xentropy",1.98221979913131,1,"train"
"16",0.0316227766016838,"xentropy",1.90935356410916,1,"train"
"17",0.0251188643150958,"xentropy",1.84427049810877,1,"train"
"18",0.0199526231496888,"xentropy",1.76662524531632,1,"train"
"19",0.0158489319246111,"xentropy",1.69559939156379,1,"train"
"20",0.0125892541179417,"xentropy",1.62739631471143,1,"train"
"21",0.01,"xentropy",1.57073160687049,1,"train"
"22",0.00794328234724281,"xentropy",1.51855028963161,1,"train"
"23",0.00630957344480193,"xentropy",1.48131788890925,1,"train"
"24",0.00501187233627272,"xentropy",1.45600892904641,1,"train"
"25",0.00398107170553497,"xentropy",1.45160794838947,1,"train"
"26",0.00316227766016838,"xentropy",1.46409318495136,1,"train"
"27",0.00251188643150958,"xentropy",1.48311833937637,1,"train"
"28",0.00199526231496888,"xentropy",1.52523577250237,1,"train"
"29",0.00158489319246111,"xentropy",1.5589593072165,1,"train"
"30",0.00125892541179417,"xentropy",1.616299566251,1,"train"
"31",0.001,"xentropy",1.6920546164967,1,"train"
"32",0.000794328234724281,"xentropy",1.78194435627134,1,"train"
"33",0.000630957344480193,"xentropy",1.88880762063173,1,"train"
"34",0.000501187233627272,"xentropy",2.00749762868163,1,"train"
"35",0.000398107170553497,"xentropy",2.13720624238212,1,"train"
"36",0.000316227766016838,"xentropy",2.27808619063012,1,"train"
"37",0.000251188643150958,"xentropy",2.39794960676417,1,"train"
"38",0.000199526231496888,"xentropy",2.52832144963621,1,"train"
"39",0.000158489319246111,"xentropy",2.66598582255477,1,"train"
"40",0.000125892541179417,"xentropy",2.81083862092535,1,"train"
"41",1e-04,"xentropy",2.86581817957591,1,"train"
"42",1,"xentropy",2.8511620473747,2,"train"
"43",0.794328234724281,"xentropy",2.84948020058307,2,"train"
"44",0.630957344480193,"xentropy",2.84946086583297,2,"train"
"45",0.501187233627272,"xentropy",2.84944664145105,2,"train"
"46",0.398107170553497,"xentropy",2.84944794113947,2,"train"
"47",0.316227766016838,"xentropy",2.84944838187205,2,"train"
"48",0.251188643150958,"xentropy",2.84944841896487,2,"train"
"49",0.199526231496888,"xentropy",2.84944842052755,2,"train"
"50",0.158489319246111,"xentropy",2.80278699417505,2,"train"
"51",0.125892541179417,"xentropy",2.64308862966255,2,"train"
"52",0.1,"xentropy",2.47459436627853,2,"train"
"53",0.0794328234724281,"xentropy",2.33916858252115,2,"train"
"54",0.0630957344480193,"xentropy",2.22275736614986,2,"train"
"55",0.0501187233627272,"xentropy",2.09910090985683,2,"train"
"56",0.0398107170553497,"xentropy",1.98502362909863,2,"train"
"57",0.0316227766016838,"xentropy",1.88480630659725,2,"train"
"58",0.0251188643150958,"xentropy",1.79419943239322,2,"train"
